code,num
C1072,681.3039310623212
C1128,1245.1095131665584
C1456,600.443934849614
C1840,560.3149108406838
C1332,1148.009807327392
C1563,1530.535634918837
C1794,905.75191339214
C1640,355.94218921832856
C1377,397.5506111893591
C2072,306.54886741575547
C1472,514.2719993179618
C1006,140.90962041467418
C1083,344.74569033014245
C1311,275.7752917809738
C2676,202.30361550531404
C2318,223.41821069980944
C1603,495.5732043750153
C2523,321.0402123151135
C2177,156.94340957994322
C2411,696.1195752779956
C2033,159.86358206275602
C1604,447.36775533203274
C2535,500.2994087710031
C1040,480.4906688894214
C2417,367.49859066094064
C1812,130.8377191599639
C2253,94.00361507659107
C1294,392.2800833052634
C1772,339.96812905362725
C2646,382.2416197205674
C1152,895.651427270374
C2423,114.30700429980556
C1844,535.4505720303623
C1318,218.9525835200694
C1729,84.36457559672539
C1602,277.0848317889028
C1239,408.1380417389861
C1721,548.4080034255171
C1902,821.6283531370896
C1855,311.54198260949244
C2600,500.72079436502054
C1071,381.71735096115776
C2295,449.72068512691783
C1621,565.9711277258881
C1852,708.3508382011393
C2555,827.9409587333532
C1297,446.5078381602708
C2323,588.1107476276126
C2215,419.3286838785606
C2112,389.3926892477513
C1830,717.749847680096
C2602,296.44086463859657
C2608,908.6649899711764
C1215,685.7673803978004
C2369,573.8634595483909
C1158,304.4446428441167
C1887,495.1511456266431
C1189,296.78655230677737
C1637,365.73528876649897
C1225,142.56574687661174
C2374,414.3779002124805
C2397,558.4471596630366
C1105,722.3417625157347
C1782,416.914033846215
C1629,63.51591303394104
C1708,293.7672558184265
C2144,673.9458321861682
C1617,1068.2368703354641
C1149,572.8504771270387
C1323,530.4203244508534
C1064,773.5122655550927
C1019,305.65838835630564
C2269,621.938247524002
C1416,786.9107411035423
C1250,756.4589876687678
C1741,387.0896572353433
C1016,697.0421321893144
C2436,516.914791830215
C2039,875.177960276549
C1253,878.171525486192
C2028,929.0841476337118
C1166,287.7856313063706
C1135,209.3047064222899
C1216,327.1725614161913
C1593,225.20898273348084
C1826,258.0317229059932
C1827,442.6255312971236
C1564,268.52090787734704
C1495,1117.8236473615639
C2653,863.3392522700565
C1392,506.4829510548771
C2128,329.50456217389655
C1282,636.8393007812682
C1521,1014.6878982509102
C2076,897.7313773374672
C1060,570.7589626602228
C2473,943.041848199936
C2557,643.5221195238977
C1835,925.2653301358212
C2224,456.8524386277257
C2222,420.4244719233606
C2430,774.2442383068895
C2497,253.93371122314895
C1494,824.5896426621207
C1457,494.5090267136922
C1525,1052.8207362887326
C1712,502.13664376492846
C2267,1019.521127475279
C1623,299.31817909728
C2131,559.6603021149148
C2691,1288.9266170300552
C1147,613.7193724059254
C1692,995.4022342899436
C1570,979.1514847908747
C1474,125.34411827142159
C1633,185.63425082788422
C2113,455.99760789306794
C2175,843.7246755827347
C2303,1331.5529443230228
C2547,522.9597559477576
C2292,855.1825575854713
C1496,615.954013961636
C1289,436.2226775193302
C1849,740.9132443038682
C1003,314.83608439516286
C2268,433.35517852072
C2551,453.3308236715773
C2688,34.764039301284654
C1030,22.54233479096719
C2451,555.4225292210116
C1749,461.78365349947114
C1349,239.19733822469567
C2043,216.40057848177324
C1229,231.66131019079768
C2363,460.2825525716239
C1414,402.80902538125355
C2174,436.8380579496401
C2091,138.1218627075164
C1841,68.73981636393829
C2404,137.19580768414983
C1683,173.08138621128663
C1038,322.78057294241074
C2456,255.83449010828565
C1266,413.79257249652676
C2152,25.991824821295392
C1267,399.86212523198736
C2189,253.44710885789732
C2675,0
C2335,0
C1327,0
